Country/Region,NewCases,CaseFatalityRate
Afghanistan,4,0.0000
Algeria,2,0.0000
Australia,798,0.0000
Austria,4,0.0000
Bahrain,48,0.0000
Belgium,44,0.0000
Cambodia,60,0.0000
Canada,376,0.0000
Chile,12,0.0000
China,2715654,0.0267
Croatia,2,0.0000
Egypt,24,0.0000
Finland,56,0.0000
France,566,0.0389
Germany,758,0.0000
India,148,0.0000
Iran,504,0.1944
Iraq,4,0.0000
Israel,10,0.0000
Italy,1688,0.0273
Japan,3164,0.0139
"South Korea",7299,0.0079
Kuwait,24,0.0000
Lebanon,10,0.0000
Malaysia,948,0.0000
Nepal,64,0.0000
Oman,4,0.0000
Philippines,134,0.3433
Russia,100,0.0000
Singapore,2752,0.0000
Spain,80,0.0000
"Sri Lanka",58,0.0000
Sweden,50,0.0000
Taiwan*,999,0.0180
Thailand,1650,0.0000
"United Arab Emirates",402,0.0000
"United Kingdom",752,0.0000
US,659,0.0000
Vietnam,672,0.0000
