Country/Region,"WHO Region",CaseFatalityRate
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0383
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
Japan,"Western Pacific",0.0000
"South Korea","Western Pacific",0.0000
Taiwan*,"Western Pacific",0.0000
Thailand,"South-East Asia",0.0000
US,Americas,0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",1.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0383
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
Japan,"Western Pacific",0.0000
"South Korea","Western Pacific",0.0000
Singapore,"Western Pacific",0.0000
Taiwan*,"Western Pacific",0.0000
Thailand,"South-East Asia",0.0000
US,Americas,0.0000
Vietnam,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.5000
China,"Western Pacific",0.2500
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0437
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
France,Europe,0.0000
Japan,"Western Pacific",0.0000
"South Korea","Western Pacific",0.0000
Singapore,"Western Pacific",0.0000
Taiwan*,"Western Pacific",0.0000
Thailand,"South-East Asia",0.0000
US,Americas,0.0000
Vietnam,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
China,"Western Pacific",0.0000
