Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,"WHO Region",NewCases,CaseFatalityRate
,Afghanistan,33.9391,67.71,2020/02/24,1,0,0,1,"Eastern Mediterranean",1,0
,Afghanistan,33.9391,67.71,2020/02/24,1,0,0,1,"Eastern Mediterranean",0,0
,Afghanistan,33.9391,67.71,2020/02/25,1,0,0,1,"Eastern Mediterranean",0,0
,Afghanistan,33.9391,67.71,2020/02/25,1,0,0,1,"Eastern Mediterranean",0,0
,Algeria,28.0339,1.6596,2020/02/25,1,0,0,1,Africa,1,0
,Algeria,28.0339,1.6596,2020/02/25,1,0,0,1,Africa,0,0
Victoria,Australia,-37.8136,144.963,2020/01/26,1,0,0,1,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/01/26,3,0,0,3,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/01/26,3,0,0,3,"Western Pacific",3,0
Victoria,Australia,-37.8136,144.963,2020/01/26,1,0,0,1,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/01/27,4,0,0,4,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/01/27,1,0,0,1,"Western Pacific",1,0
Victoria,Australia,-37.8136,144.963,2020/01/27,1,0,0,1,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/01/27,4,0,0,4,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/01/28,1,0,0,1,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/01/28,4,0,0,4,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/01/28,4,0,0,4,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/01/28,1,0,0,1,"Western Pacific",1,0
Victoria,Australia,-37.8136,144.963,2020/01/29,1,0,0,1,"Western Pacific",0,0
Queensland,Australia,-27.4698,153.025,2020/01/29,1,0,0,1,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/01/29,4,0,0,4,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/01/29,1,0,0,1,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/01/29,4,0,0,4,"Western Pacific",4,0
