Country/Region,TotalConfirmed
Afghanistan,4
Albania,0
Algeria,2
Andorra,0
Angola,0
"Antigua and Barbuda",0
Argentina,0
Armenia,0
Australia,798
Austria,4
Azerbaijan,0
Bahamas,0
Bahrain,48
Bangladesh,0
Barbados,0
Belarus,0
Belgium,44
Benin,0
Bhutan,0
Bolivia,0
"Bosnia and Herzegovina",0
Brazil,0
Brunei,0
Bulgaria,0
"Burkina Faso",0
"Cabo Verde",0
Cambodia,60
Cameroon,0
Canada,376
"Central African Republic",0
Chad,0
Chile,12
China,2715654
Colombia,0
"Congo (Brazzaville)",0
"Congo (Kinshasa)",0
"Costa Rica",0
"Cote d'Ivoire",0
Croatia,2
Cuba,0
Cyprus,0
Czechia,0
Denmark,0
Greenland,0
Djibouti,0
"Dominican Republic",0
Ecuador,0
Egypt,24
"El Salvador",0
"Equatorial Guinea",0
Eritrea,0
Estonia,0
Eswatini,0
Ethiopia,0
Fiji,0
Finland,56
France,566
Gabon,0
Gambia,0
Georgia,0
Germany,758
Ghana,0
Greece,0
Guatemala,0
Guinea,0
Guyana,0
Haiti,0
"Holy See",0
Honduras,0
Hungary,0
Iceland,0
India,148
Indonesia,0
Iran,504
Iraq,4
Ireland,0
Israel,10
Italy,1688
Jamaica,0
Japan,3166
Jordan,0
Kazakhstan,0
Kenya,0
"South Korea",7300
Kuwait,24
Kyrgyzstan,0
Latvia,0
Lebanon,10
Liberia,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
Madagascar,0
Malaysia,948
Maldives,0
Malta,0
Mauritania,0
Mauritius,0
Mexico,0
Moldova,0
Monaco,0
Mongolia,0
Montenegro,0
Morocco,0
Namibia,0
Nepal,64
Netherlands,0
"New Zealand",0
Nicaragua,0
Niger,0
Nigeria,0
"North Macedonia",0
Norway,0
Oman,4
Pakistan,0
Panama,0
"Papua New Guinea",0
Paraguay,0
Peru,0
Philippines,134
Poland,0
Portugal,0
Qatar,0
Romania,0
Russia,100
Rwanda,0
"Saint Lucia",0
"Saint Vincent and the Grenadines",0
"San Marino",0
"Saudi Arabia",0
Senegal,0
Serbia,0
Seychelles,0
Singapore,2752
Slovakia,0
Slovenia,0
Somalia,0
"South Africa",0
Spain,80
"Sri Lanka",58
Sudan,0
Suriname,0
Sweden,50
Switzerland,0
Taiwan*,1000
Tanzania,0
Thailand,1652
Togo,0
"Trinidad and Tobago",0
Tunisia,0
Turkey,0
Uganda,0
Ukraine,0
"United Arab Emirates",402
"United Kingdom",752
Uruguay,0
US,660
Uzbekistan,0
Venezuela,0
Vietnam,672
Zambia,0
Zimbabwe,0
Dominica,0
Grenada,0
Mozambique,0
Syria,0
Timor-Leste,0
Belize,0
Laos,0
Libya,0
"West Bank and Gaza",0
Guinea-Bissau,0
Mali,0
"Saint Kitts and Nevis",0
Kosovo,0
Burma,0
Botswana,0
Burundi,0
"Sierra Leone",0
Malawi,0
"South Sudan",0
"Western Sahara",0
"Sao Tome and Principe",0
Yemen,0
Comoros,0
Tajikistan,0
Lesotho,0
